,Loaded Imports,Empty Imports,Total Imports,Loaded Exports,Empty Exports,Total Exports,Total TEUs,Prior Year Change
Jan-15,"259,206.45","8,737.25","267,943.70","124,365.25","137,118.25","261,483.50","529,427.20",-22.77%
Feb-15,"254,225.30","5,730.75","259,956.05","131,806.50","110,900.75","242,707.25","502,663.30",-10.20%
Mar-15,"430,898.05","8,311.30","439,209.35","145,536.25","207,118.00","352,654.25","791,863.60",17.27%
Apr-15,"328,140.25","11,453.50","339,593.75","145,655.75","177,723.75","323,379.50","662,973.25",-6.10%
May-15,"348,427.00","11,258.30","359,685.30","152,917.00","182,188.75","335,105.75","694,791.05",0.82%
Jun-15,"368,708.50","9,072.10","377,780.60","143,549.25","200,472.75","344,022.00","721,802.60",-1.99%
Jul-15,"350,627.85","11,374.10","362,001.95","136,402.00","200,724.00","337,126.00","699,127.95",-2.55%
Aug-15,"407,804.40","9,514.40","417,318.80","143,936.00","225,413.00","369,349.00","786,667.80",3.82%
Sep-15,"372,991.50","10,971.90","383,963.40","124,286.00","222,057.50","346,343.50","730,306.90",-5.78%
Oct-15,"358,601.50","13,814.15","372,415.65","134,963.75","197,209.50","332,173.25","704,588.90",-1.55%
Nov-15,"358,423.45","10,291.10","368,714.55","142,020.25","199,233.90","341,254.15","709,968.70",7.03%
Dec-15,"321,407.70","9,639.20","331,046.90","131,239.00","163,990.75","295,229.75","626,276.65",-4.90%
Jan-16,"367,208.80","8,006.90","375,215.70","126,240.50","202,942.25","329,182.75","704,398.45",33.05%
Feb-16,"372,744.30","10,623.95","383,368.25","146,488.75","183,864.00","330,352.75","713,721.00",41.99%
Mar-16,"287,231.25","9,618.45","296,849.70","159,362.50","156,651.00","316,013.50","612,863.20",-22.60%
Apr-16,"343,574.10","10,629.45","354,203.55","144,103.75","157,869.75","301,973.50","656,177.05",-1.03%
May-16,"400,765.95","10,943.10","411,709.05","162,487.00","196,213.25","358,700.25","770,409.30",10.88%
Jun-16,"355,622.90","9,554.25","365,177.15","140,561.50","170,268.25","310,829.75","676,006.90",-6.34%
Jul-16,"368,696.85","10,756.75","379,453.60","132,490.00","175,948.20","308,438.20","687,891.80",-1.61%
Aug-16,"411,366.85","11,823.40","423,190.25","153,005.00","222,737.50","375,742.50","798,932.75",1.56%
Sep-16,"388,958.50","11,019.75","399,978.25","145,096.25","202,632.90","347,729.15","747,707.40",2.38%
Oct-16,"417,311.05","10,885.80","428,196.85","166,406.25","219,971.40","386,377.65","814,574.50",15.61%
Nov-16,"437,050.20","11,261.15","448,311.35","177,359.75","251,893.10","429,252.85","877,564.20",23.61%
Dec-16,"394,217.15","10,663.50","404,880.65","164,900.50","226,755.10","391,655.60","796,536.25",27.19%
Jan-17,"415,422.70","12,974.60","428,397.30","162,420.00","235,822.25","398,242.25","826,639.55",17.35%
Feb-17,"298,974.95","9,606.80","308,581.75","155,357.65","161,441.75","316,799.40","625,381.15",-12.38%
Mar-17,"373,548.95","12,088.00","385,636.95","191,771.75","211,115.00","402,886.75","788,523.70",28.66%
Apr-17,"372,040.90","9,475.75","381,516.65","157,661.50","175,576.90","333,238.40","714,755.05",8.93%
May-17,"413,021.30","11,480.65","424,501.95","169,639.00","202,075.75","371,714.75","796,216.70",3.35%
Jun-17,"372,272.10","10,511.50","382,783.60","145,527.50","202,721.25","348,248.75","731,032.35",8.14%
Jul-17,"417,090.75","10,587.20","427,677.95","154,925.75","214,200.30","369,126.05","796,804.00",15.83%
Aug-17,"432,479.15","10,559.65","443,038.80","159,197.00","245,621.25","404,818.25","847,857.05",6.12%
Sep-17,"388,670.05","9,696.20","398,366.25","128,445.50","236,972.75","365,418.25","763,784.50",2.15%
Oct-17,"383,385.00","14,573.70","397,958.70","144,209.75","206,593.75","350,803.50","748,762.20",-8.08%
Nov-17,"463,690.90","12,097.35","475,788.25","177,913.00","270,524.50","448,437.50","924,225.75",5.32%
Dec-17,"385,492.05","11,809.00","397,301.05","152,865.50","229,044.40","381,909.90","779,210.95",-2.18%
Jan-18,"422,831.95","9,296.80","432,128.75","150,035.25","226,564.50","376,599.75","808,728.50",-2.17%
Feb-18,"383,089.55","9,593.40","392,682.95","157,591.25","174,785.25","332,376.50","725,059.45",15.94%
Mar-18,"264,460.05","9,382.20","273,842.25","163,706.65","140,317.00","304,023.65","577,865.90",-26.72%
Apr-18,"361,108.30"," 11,418.00 "," 372,526.30"," 164,703.65"," 168,306.00 ","333,009.65"," 705,535.95",-1.29%
May-18,"405,586.80","11,785.80"," 417,372.60","168,680.75"," 182,751.00","351,431.75","768,804.35",-3.44%
Jun-18,"382,964.00"," 10,401.15","393,365.15"," 147,563.25"," 182,212.75 ","329,776.00","723,141.15",-1.08%
Jul-18,"438,164.55","16,517.05","454,681.60"," 167,991.75"," 210,894.50","378,886.25","833,567.85",4.61%
Aug-18,"420,573.25","20,103.15","440,676.40","162,465.50","223,496.50","385,962.00","826,638.40",-2.50%
Sep-18,"414,281.50","17,028.90","431,310.40","146,999.50","222,954.25","369,953.75","801,264.15",4.91%
Oct-18,"485,823.55","18,564.30","504,387.85","173,823.90","274,342.00","448,165.90","952,553.75",27.22%
Nov-18,"422,792.65","17,173.50","439,966.15","152,527.00","239,837.75","392,364.75","832,330.90",-9.94%
Dec-18,"468,905.85","13,447.40","482,353.25","147,965.40","272,939.50","420,904.90","903,258.15",15.92%
Jan-19,"429,922.75","15,807.75","445,730.50","144,993.00","261,726.00","406,719.00","852,449.50",5.41%
Feb-19,"348,315.75","16,234.80","364,550.55","142,554.50","198,201.50","340,756.00","705,306.55",-2.72%
Mar-19,"297,186.95","13,866.95","311,053.90","158,923.75","180,999.50","339,923.25","650,977.15",12.65%
Apr-19,"360,744.65","17,598.85","378,343.50","155,532.75","202,589.70","358,122.45","736,465.95",4.38%
May-19,"427,789.00","12,524.40","440,313.40"," 167,357.25 "," 220,991.50"," 388,348.75"," 828,662.15", 7.79%
Jun-19,"396,306.50","9,517.50","405,824.00","139,318.00 ","219,635.25","358,953.25","764,777.25",5.76%
Jul-19,"476,438.20","11,166.70","487,604.90","161,340.25","263,209.00","424,549.25","912,154.15",9.43%
Aug-19,"437,613.25","11,472.55","449,085.80","146,284.00","265,711.00","411,995.00","861,080.80",4.17%
Sep-19,"402,319.85","12,360.90","414,680.75","130,768.50","234,453.50","365,222.00","779,902.75",-2.67%
Oct-19,"392,768.60"," 9,656.90"," 402,425.50"," 140,331.50"," 227,431.50"," 367,763.00"," 770,188.50", -19.14%
Nov-19,"371,349.70","9,087.95","380,437.65","138,544.50","209,935.75","348,480.25","728,917.90",-12.42%
Dec-19,"373,511.00","10,283.25","383,794.25","130,228.50","232,727.00","362,955.50","746,749.75",-17.33%
Jan-20,"414,730.85","11,030.65","425,761.50","148,206.00","232,176.25","380,382.25","806,143.75",-5.43%
Feb-20,"270,025.05","8,710.00","278,735.05","134,468.50","130,833.75","265,302.25","544,037.30",-22.87%
Mar-20,"220,254.55","11,352.75","231,607.30","121,146.00","96,815.00","217,961.00","449,568.30",-30.94%
Apr-20,"370,111.00","4,075.00","374,186.00","130,321.25","184,491.75","314,813.00","688,999.00",-6.45%
May-20,"306,323.00",43,"306,366.00","104,382.00","170,916.75","275,298.75","581,664.75",-29.81%
Jun-20,"369,188.90",68,"369,256.90","109,585.75","212,632.75","322,218.50","691,475.40",-9.58%
Jul-20,"456,028.70","1,168.00","457,196.70","126,353.70","272,838.70","399,192.45","856,389.15",-6.11%
Aug-20,"516,285.95",738.8,"517,024.75","131,428.75","313,379.25","444,808.00","961,832.75",11.70%
Sep-20,"471,794.50","4,887.05","476,681.55","130,396.75","276,546.50","406,943.25","883,624.80",13.30%
Oct-20,"506,613.20","4,199.60","510,812.80","143,935.75","325,980.00","469,915.75","980,728.55",27.34%
Nov-20," 464,819.70","1,247.70","466,067.40","130,916.50","292,762.25","423,678.75","889.,748.15",22.06%
Dec-20,"460,865.00","1,790.30","462,655.30","120,265.00","296,265.75","416,530.75","879,186.05",17.74%
Jan-21,"437,609.20",254,"437,863.20","119,326.75","278,326.25","397,653.00","835,516.20",3.64%
Feb-21,"412,884.25","1,270.25","414,154.50","101,208.15","283,952.75","385,160.90","799,315.40",46.92%
Mar-21,"490,115.00","3,350.25","493,465.25","122,899.00","341,235.00","464,134.00","957,599.25",113.00%
Apr-21,"490,126.85","4,554.75","494,681.60","114,448.50","337,836.25","452,284.75","946,966.35",37.44%
May-21,"535,714.20","5,088.90","540,803.10","109,886.00","361,358.75","471,244.75","1,012,047.85",73.99%
Jun-21,"467,763.25","1,790.35","469,553.60","96,066.75","310,810.00","406,876.75","876,430.35",26.75%
Jul-21,"469,360.85",120.7,"469,481.55","91,439.50","329,878.75","421,318.25","890,799.80",4.02%
Aug-21,"485,672.15","3,201.70","488,873.85","101,292.00","364,211.50","465,503.50","954,377.35",-0.78%
Sep-21,"468,059.15","1,510.95","469,570.10","75,713.50","358,581.00","434,294.50","903,864.60",2.29%
Oct-21,"467,286.65","1,426.95"," 468,713.60","98,251.25"," 335,679.05"," 433,930.30","902,643.90",-7.96%
Nov-21,"403,443.90","1,865.40","405,309.30","82,741.35","323,409.25","406,150.60","811,459.90",-8.80%
Dec-21,"385,250.70","2,272.45","387,523.15","70,871.75","328,193.85","399,065.60","786,588.75",-10.53%
Jan-22,"427,207.70","1,266.55","428,474.25","100,185.25","336,935.85","437,121.10","865,595.35",3.60%
Feb-22,"424,072.85","2,739.60","426,812.45","95,441.00","335,510.95","430,951.95","857,764.40",7.31%
Mar-22,"495,195.80","2,580.05","497,775.85","111,781.25","349,116.95","460,898.20","958,674.05",0.11%
Apr-22,"456,669.55","1,594.50","458,264.05","99,878.00","329,215.30","429,093.30","887,357.35",-6.29%
