"Date","Loaded Inbound","Loaded Outbound","Total Loaded","Empty Inbound","Empty Outbound","Total Empties","Total"
"Sep 2025","388,084","85,081","473,165","15,390","308,982","324,372","797,537"
"Aug 2025","440,318","95,960","536,278","15,007","350,560","365,568","901,846"
"Jul 2025","468,081","91,328","559,408","13,474","371,350","384,824","944,232"
"Jun 2025","348,681","87,627","436,308","13,098","254,997","268,095","704,403"
"May 2025","299,116","82,149","381,265","15,424","242,471","257,895","639,160"
"Apr 2025","419,828","93,842","513,670","17,368","336,456","353,823","867,493"
"Mar 2025","380,562","104,063","484,625","17,213","315,619","332,833","817,457"
"Feb 2025","368,669","90,026","458,695","14,397","292,293","306,690","765,385"
"Jan 2025","471,649","98,655","570,303","13,225","369,205","382,430","952,733"
"Dec 2024","412,876","100,792","513,668","14,483","332,855","347,338","861,006"
"Nov 2024","432,823","119,083","551,905","15,306","316,944","332,249","884,154"
"Oct 2024","487,563","112,845","600,408","14,646","372,136","386,782","987,191"
"Sep 2024","416,999","88,289","505,288","13,382","310,829","324,211","829,499"
"Aug 2024","456,868","104,646","561,513","13,610","338,750","352,360","913,873"
"Jul 2024","435,081","104,834","539,914","16,959","325,503","342,462","882,376"
"Jun 2024","419,698","98,300","517,998","13,906","310,542","324,448","842,446"
"May 2024","345,271","100,885","446,156","13,890","235,892","249,781","695,937"
"Apr 2024","364,665","98,266","462,931","13,270","274,223","287,493","750,424"
"Mar 2024","302,521","105,099","407,619","15,714","230,750","246,463","654,082"
"Feb 2024","329,850","87,474","417,323","12,930","244,470","257,400","674,723"
"Jan 2024","325,339","86,525","411,864","12,982","249,169","262,151","674,015"
"Dec 2023","333,329","103,688","437,017","15,637","257,166","272,802","709,819"
"Nov 2023","355,339","108,798","464,137","15,064","251,833","266,896","731,033"
"Oct 2023","363,300","90,073","453,373","14,817","286,960","301,777","755,150"
"Sep 2023","408,926","101,248","510,174","18,448","300,807","319,255","829,429"
"Aug 2023","325,436","93,402","418,838","15,277","248,198","263,474","682,312"
"Jul 2023","271,086","90,134","361,220","16,934","200,096","217,030","578,249"
"Jun 2023","274,325","94,508","368,833","14,115","214,128","228,243","597,076"
"May 2023","361,661","127,870","489,530","12,970","255,725","268,695","758,225"
"Apr 2023","313,444","122,663","436,107","16,816","203,127","219,943","656,049"
"Mar 2023","279,148","133,512","412,660","14,312","176,907","191,218","603,878"
"Feb 2023","254,970","110,919","365,889","13,258","164,529","177,787","543,675"
"Jan 2023","263,394","105,623","369,017","13,298","191,458","204,755","573,772"
"Dec 2022","241,643","115,782","357,424","15,982","170,698","186,680","544,104"
"Nov 2022","259,442","124,988","384,430","17,767","186,546","204,313","588,742"
"Oct 2022","293,924","119,761","413,685","16,518","228,225","244,743","658,428"
"Sep 2022","342,671","112,940","455,611","16,693","269,519","286,212","741,823"
"Aug 2022","384,530","121,408","505,938","12,444","288,558","301,001","806,940"
"Jul 2022","376,175","109,411","485,586","14,887","285,370","300,257","785,843"
"Jun 2022","415,677","115,303","530,980","14,644","289,788","304,433","835,412"
"May 2022","436,977","118,234","555,211","10,673","325,105","335,778","890,989"
"Apr 2022","400,803","121,876","522,679","12,895","285,145","298,039","820,718"
"Mar 2022","427,280","114,185","541,465","11,597","310,094","321,691","863,156"
"Feb 2022","390,335","117,935","508,270","11,617","276,673","288,290","796,560"
"Jan 2022","389,334","123,060","512,394","12,492","276,058","288,550","800,943"
"Dec 2021","358,687","113,918","472,605","12,525","269,184","281,709","754,314"
"Nov 2021","362,394","109,821","472,215","11,090","262,184","273,274","745,488"
