date,total_loaded_lb_x,total_empties_la_x,cpi_all,cpi_food,cpi_apparel,cpi_vehicles,cpi_pharma,cpi_household,importprice,gscpi,bdi,total_empties_la_y,total_loaded_lb_y,total_loaded_inbound,total_loaded_outbound,total_empty_inbound,total_empty_outbound,total_teus,total_loaded,total_empties
2015-01,,,234.747,245.764,126.129,146.104,441.351,235.735,126.0,-0.5043534959658189,,145855.5,312129,472873.45,222827.25,16652.25,246565.25,958917.2,267943.7,117361
2015-02,,,235.342,246.056,125.96,146.316,441.101,236.2,125.5,-0.3189377079003075,,116631.5,315173,458687.3,242517.5,12223.75,202349.75,915777.3,259956.05,97941
2015-03,,,235.976,245.685,126.626,146.672,442.943,236.602,125.3,-0.3820198770268562,,215429.3,444857,748418.05,272873.25,20153.3,380503.0,1421947.6,439209.35,185227
2015-04,,,236.222,245.615,126.39,147.024,445.822,237.086,125.1,-0.3504476682638204,,189177.25,454922,645516.25,283201.75,19467.5,329647.75,1277833.25,339593.75,159938
2015-05,,,237.001,245.886,125.831,147.327,446.743,237.21,126.5,-0.5474628820996832,,193447.05,463172,675744.0,288772.0,18648.3,346876.75,1330041.05,359685.3,172078
2015-06,,,237.657,246.511,125.51,147.489,446.33,237.804,126.6,-0.8665682909031791,,209544.85,425412,665897.5,271772.25,14915.1,352838.75,1305423.6,377780.6,158209
2015-07,,,238.034,246.733,125.689,147.462,446.953,238.334,125.4,-0.4081899684497569,,212098.1,489787,696539.85,280277.0,17884.1,394672.0,1389371.95,362001.95,200457
2015-08,,,238.033,247.295,126.166,147.41,446.612,238.7,123.2,-0.6803835522016591,,234927.4,497027,766066.4,282701.0,17683.4,423870.0,1490319.8,417318.8,206625
2015-09,,,237.498,247.984,126.011,147.611,447.648,239.236,121.9,-0.3968204266068451,,233029.4,458548,705900.5,249925.0,21353.9,408748.5,1385930.9,383963.4,197076
2015-10,,,237.733,248.288,125.323,147.481,450.681,239.593,121.5,-0.2383681092365776,,211023.65,436303,666596.5,263271.75,25216.15,369488.5,1324572.9,372415.65,183681
2015-11,,,238.017,248.075,125.724,147.466,452.225,240.001,120.8,-0.6387667502080359,,209525.0,431371,665077.45,266737.25,18391.1,379461.9,1329667.7,368714.55,188328
2015-12,,,237.761,247.761,126.042,147.272,452.732,240.224,119.3,-0.5968316663148125,,173629.95,422120,617409.7,257357.0,19141.2,328816.75,1222724.65,331046.9,174328
2016-01,,,237.652,247.967,124.999,146.706,454.194,240.673,117.8,-0.7952865391641585,,210949.15,385230,645699.8,232979.5,17220.9,344685.25,1240586.45,375215.7,150958
2016-02,,,237.336,248.244,125.898,147.374,456.922,241.124,117.2,-0.7507195369667566,,194487.95,418880,668614.3,269498.75,17537.95,319482.0,1275133.0,383368.25,142532
2016-03,,,238.08,247.699,125.843,147.443,457.723,241.587,117.7,-0.6530671060361121,,166269.45,334845,494866.25,286572.5,19457.45,276823.0,1077718.2,296849.7,130010
2016-04,,,238.992,247.906,125.782,147.213,459.245,242.071,118.5,-0.2742565089598152,,168499.2,360121,590890.1,256908.75,17036.45,270183.75,1135019.05,354203.55,118721
2016-05,,,239.557,247.575,126.707,147.175,460.487,242.833,119.9,-0.7069294805528341,,207156.35,469233,731404.95,301081.0,19296.1,359193.25,1410975.3,411709.05,171333
2016-06,,,240.222,247.42,126.276,147.046,462.09,243.515,120.7,-0.2855517152891921,,179822.5,441625,669148.9,268660.5,17027.25,324510.25,1279345.9,365177.15,161714
2016-07,,,240.101,247.406,125.881,147.303,464.439,244.224,120.8,-0.1663994150887617,,186704.95,468420,694304.85,275302.0,20640.75,334735.2,1324982.8,379453.6,168671
2016-08,,,240.545,247.479,126.148,147.335,469.02,244.911,120.5,0.0948162996863259,,234560.9,480872,732991.85,312252.0,20443.4,374275.5,1439961.75,423190.25,160157
2016-09,,,241.176,247.528,125.914,147.482,469.816,245.755,120.6,-0.2913512206201005,,213652.65,403328,671903.5,265479.25,18558.75,338569.9,1294511.4,399978.25,143476
2016-10,,,241.741,247.596,126.521,147.784,469.749,246.48,121.2,-0.0514032161005806,,230857.2,423481,714022.05,293176.25,19601.8,369583.4,1396382.5,428196.85,158327
2016-11,,,242.026,247.525,126.605,147.737,469.914,246.985,121.1,-0.3037287543305988,,263154.25,391507,707660.2,298256.75,19816.15,386139.1,1411872.2,448311.35,142801
2016-12,,,242.637,247.53,126.185,147.686,470.539,247.543,121.6,-0.2176410894852285,,237418.6,394532,665816.15,287833.5,18498.5,373317.1,1345465.25,404880.65,154397
2017-01,,,243.618,247.9,126.044,148.166,471.484,248.164,122.3,0.1698297785822642,,248796.85,417224,714412.7,280654.0,20142.6,394119.25,1409328.55,428397.3,165465
2017-02,,,244.006,248.513,126.058,148.284,473.139,248.807,122.7,0.1510497347041479,,171048.55,369570,548733.95,275168.65,15355.8,284434.75,1123693.15,308581.75,128742
2017-03,,,243.892,249.02,126.397,148.053,473.685,249.098,122.5,0.0799246501959897,,223203.0,369969,623082.95,312206.75,18849.0,339767.0,1293905.7,385636.95,135413
2017-04,,,244.193,249.381,126.301,148.147,473.007,249.8,122.8,0.012140404084739,,185052.65,404467,660247.9,273921.5,15856.75,322742.9,1272769.05,381516.65,153547
2017-05,,,244.004,249.711,125.651,147.786,472.981,250.408,122.7,-0.1387995922879802,,213556.4,455380,749615.3,288425.0,17774.65,388689.75,1444504.7,424501.95,192908
